id;name;ac;hp;bab;attacks;color_metal;color_minor;color_major;color_skin;color_leather;color_armor;color_hair;str;dex;con;int;wis;cha;race
12ANSON;Anson;10;6;0;0;30;47;46;12;23;28;0;12;11;12;9;9;9;1
12ARCHD;Archer;10;3;0;0;30;37;57;12;23;28;2;11;12;11;9;9;9;1
12ARCHER;Archer;10;3;0;1;30;37;57;12;23;28;2;11;12;11;9;9;9;1
12ARCHSP;Archer;10;3;0;0;30;37;57;12;23;28;2;11;12;11;9;9;9;1
12BLACK;Black Geoffrey;10;28;0;0;30;75;66;13;21;28;0;18;16;10;10;10;10;1
12BLANC;Blanchard Pike;10;28;0;0;30;38;54;12;23;28;1;13;18;12;11;13;10;1
12CABALL;Caballus;16;32;0;0;30;37;36;12;23;28;0;11;12;16;13;13;16;155
12CAULDE;Caulder;10;6;0;0;30;43;64;12;23;28;0;11;12;12;9;10;9;1
12CRANDA;Crandall;10;6;0;0;30;37;57;12;23;28;4;12;11;12;9;9;9;1
12DRILL;Drill Sergeant;10;5;0;0;30;37;57;12;23;28;2;12;11;12;9;9;9;1
12DRILLD;Drill Sergeant;10;5;0;0;30;37;57;12;23;28;2;12;11;12;9;9;9;1
12GABLE;Gable;10;5;0;0;30;37;57;12;23;28;3;11;12;11;9;9;9;1
12GHOTRA;Ghotrag;14;35;0;0;30;37;47;12;23;28;0;17;10;10;10;10;7;155
12GOB;Goblin;14;5;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
12GOBAR;Goblin Archer;14;5;0;0;30;37;51;12;23;28;0;9;12;9;7;7;7;155
12GOBARE;Goblin Archer Elite;14;8;0;0;30;37;58;12;23;28;0;13;13;12;10;11;9;155
12GOBD;Goblin;11;4;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
12GOBE;Goblin Elite;14;8;0;0;30;37;58;12;23;28;0;13;13;12;10;11;8;155
12GOBSH1;Goblin Shaman;13;12;0;0;30;37;36;12;23;28;0;11;13;10;13;13;7;155
12HARLES;Harlesford;10;6;0;0;30;64;63;12;23;28;2;11;12;12;9;10;9;1
12ILLIGM;Illigmar;10;9;0;0;30;47;46;12;23;28;0;12;11;12;9;9;9;1
12ISHER;Isherwood;14;14;0;0;30;41;57;12;22;28;4;12;16;11;9;9;9;1
12ISHERD;Isherwood;14;14;0;0;30;41;57;12;22;28;4;12;16;11;9;9;9;1
12JON;Honest Jon;10;6;0;0;30;37;57;12;23;28;3;12;11;12;9;9;9;1
12KADENC;Kadence;10;5;0;0;30;37;57;12;23;28;4;11;12;11;9;9;9;1
12KEGARC;Smug-Looking Barrel;5;10;0;0;30;37;40;12;23;28;0;9;9;9;9;9;9;190
12KEGMEL;Keg;0;10;0;1;30;37;40;12;23;28;0;9;9;9;9;9;9;190
12KICKSH;Kickshaw;10;18;0;0;30;38;41;12;23;28;0;10;18;13;11;10;9;1
12MENON;Menon;10;6;0;0;30;37;57;12;23;28;2;12;11;12;9;9;9;1
12MERC;Mercenary;10;4;0;0;30;47;46;12;23;28;0;12;8;12;9;9;9;1
12MERCD;Mercenary;10;4;0;0;30;47;46;12;23;28;0;12;8;12;9;9;9;1
12MERCSP;Mercenary;10;4;0;0;30;47;46;12;23;28;0;12;8;12;9;9;9;1
12MESS;Targos Soldier;10;6;0;0;30;37;57;12;23;28;2;12;11;12;9;9;9;1
12NILES;Niles;10;6;0;0;30;47;46;12;23;28;1;10;9;9;9;9;9;1
12NOLAN;Nolan the Healer;10;11;0;0;26;25;50;12;24;26;3;12;10;10;8;12;10;1
12OGR;Ogre;17;26;0;0;30;47;39;9;23;30;0;21;8;15;6;10;7;113
12OLAP;Olap Tamewater;10;25;0;0;30;48;64;13;23;28;0;17;12;17;12;10;9;4
12PHAEN;Phaen of the Rags;10;18;0;0;30;54;52;12;24;28;3;11;16;12;17;11;16;1
12RECRUD;Recruit;10;3;0;0;30;37;57;12;23;28;2;12;8;12;9;9;9;1
12RECRUI;Recruit;10;3;0;0;30;37;57;12;23;28;2;12;8;12;9;9;9;1
12REIG;Reig Redwaters;10;6;0;0;30;37;57;12;23;28;2;12;11;10;9;9;9;1
12SHAWFO;Shawford Crale;10;28;0;0;30;38;58;12;23;28;5;17;16;14;13;11;14;1
12SOLDRD;Targos Soldier;10;6;0;0;30;37;57;12;23;28;2;12;11;12;9;9;9;1
12SOLDSP;Targos Soldier;10;4;0;0;30;37;57;12;23;28;2;12;8;12;9;9;9;1
12SOLHSP;Targos Soldier;10;4;0;0;30;37;57;12;23;28;2;12;8;12;9;9;9;1
12SWIFT;Swift Thomas;10;2;0;0;30;37;37;12;23;28;1;8;12;8;8;8;8;1
12SWIFTH;Swift Thomas;10;2;0;0;30;37;37;12;23;28;1;8;12;8;8;8;8;1
12TABARD;Tabard Mooncalf;10;6;0;1;30;37;57;12;23;28;2;12;11;12;9;9;9;1
12TARRAN;Tarran;10;6;0;0;30;47;46;12;23;28;0;12;11;12;9;9;9;1
12TARSOL;Targos Soldier;10;4;0;0;30;37;57;12;23;28;2;10;8;9;9;9;9;1
12TRAIND;Trainee;10;3;0;0;30;37;57;12;23;28;2;12;8;12;9;9;9;1
12TRAINE;Trainee;10;3;0;0;30;37;57;12;23;28;2;9;8;9;9;9;9;1
12VGHOTA;Vghotan;14;35;0;0;30;37;53;12;23;28;0;17;12;12;7;7;7;155
12WEAPON;Weapon Instructor;10;5;0;0;30;37;57;12;23;28;2;9;8;9;9;9;9;1
12WOLF;Vghotan's Hound;12;12;0;0;30;37;5;12;23;28;0;13;15;15;3;12;6;117
12WOLFD;Vghotan's Hound;12;12;0;0;30;37;5;12;23;28;0;13;15;15;3;12;6;117
20ARTE;Arte;10;8;1;1;28;0;57;12;22;22;0;10;10;10;10;10;10;1
20BORARC;Arctic Boar;16;22;2;1;30;37;3;12;23;28;0;15;10;17;3;13;4;255
20CARCWL;Carrion Crawler;15;22;1;4;30;37;70;12;23;28;0;14;15;14;3;15;6;151
20DEDVF;Dead Villager;10;1;0;1;30;37;65;12;23;28;0;9;9;9;9;9;9;1
20DEDVM;Dead Villager;10;1;0;1;30;37;65;12;23;28;0;9;9;9;9;9;9;255
20DERETH;Dereth Springsong;16;56;6;2;30;37;69;12;23;28;3;10;10;12;16;18;12;1
20DERHID;Dereth Springsong;16;56;6;2;30;37;69;12;23;28;3;10;10;12;16;18;12;1
20DERWLF;Wolf;12;18;2;1;30;37;64;12;23;28;0;13;15;15;3;12;6;255
20EMMA;Emma Moonblade;15;49;6;2;30;63;66;12;23;27;4;12;14;12;12;17;14;1
20FIRSPC;Orc Firestarter;14;10;0;1;0;0;7;0;0;0;0;15;10;11;9;8;8;160
20GRNSLM;Slime;5;10;3;1;30;37;52;12;23;28;0;12;3;11;3;3;3;119
20HGHCAT;Highland Cat;12;38;2;2;30;37;67;12;23;28;0;21;17;15;3;12;6;255
20KAITLN;Kaitlin Silvertongue;10;5;1;1;30;37;67;12;23;28;0;10;10;10;10;10;10;1
20KEG1;Keg;0;8;0;1;30;37;40;12;23;28;0;9;9;9;9;9;9;190
20KEG2;Keg;0;8;0;1;30;37;40;12;23;28;0;9;9;9;9;9;9;190
20KEG3;Keg;0;8;0;1;30;37;40;12;23;28;0;9;9;9;9;9;9;190
20KNTVIR;Warrior of Virtue;13;48;4;1;0;0;55;0;0;0;0;16;16;10;10;12;10;1
20KRIS;Kristian Deylore;15;54;5;1;28;46;63;12;22;27;3;18;12;14;10;14;14;1
20MADLEP;Mad Cat;12;35;2;2;30;37;24;12;23;28;0;21;17;15;3;12;6;255
20MALARA;Malarite;13;30;2;1;30;37;104;12;23;28;0;12;12;12;10;16;10;1
20MALARH;Malarite High Priest;14;42;5;1;30;37;88;12;23;28;0;14;14;18;10;16;10;1
20MALARP;Malarite Priest;15;30;3;1;30;37;33;12;23;28;0;12;12;14;10;14;10;1
20MYSON;Myson;10;8;1;1;28;0;50;12;22;22;0;9;9;9;9;9;9;1
20OCRJEL;Ochre Jelly;4;48;5;4;30;37;49;12;23;28;0;15;3;15;3;3;3;119
20OLVSLM;Olive Slime;5;18;5;1;30;37;42;12;23;28;0;15;3;15;3;3;3;119
20ORCA3;Orc Archer;14;18;3;1;0;0;7;0;0;0;0;15;10;11;9;8;8;160
20ORCA4;Orc Archer;14;22;4;1;0;0;15;0;0;0;0;15;10;11;9;8;8;160
20ORCACH;Orc Archer;14;8;1;1;30;37;69;12;23;28;0;15;10;11;9;8;8;160
20ORCAV;Orc Archer;14;8;1;1;30;37;69;12;23;28;0;15;10;11;9;8;8;160
20ORCAV3;Orc Archer;14;18;3;1;0;0;7;0;0;0;0;15;10;11;9;8;8;160
20ORCAV4;Orc Archer;14;22;4;1;0;0;15;0;0;0;0;15;10;11;9;8;8;160
20ORCCHF;Torak;14;43;5;1;30;37;20;12;23;28;0;15;10;11;9;8;8;160
20ORCFIR;Orc Firestarter;14;18;4;1;0;0;7;0;0;0;0;15;10;11;9;8;8;160
20ORCRUN;Orc Runner;14;18;3;1;0;0;86;0;0;0;0;15;10;11;9;8;8;160
20ORCSHM;Orc Shaman;14;22;2;1;30;37;73;12;23;28;0;15;10;11;9;14;12;160
20ORCSHV;Orc Shaman;14;22;2;1;30;37;73;12;23;28;0;15;10;11;9;14;12;160
20ORCW3;Orc Warrior;14;18;3;1;0;0;86;0;0;0;0;15;10;11;9;8;8;160
20ORCW4;Orc Warrior;14;22;4;1;0;0;32;0;0;0;0;15;10;11;9;8;8;160
20ORCWAR;Orc;14;8;1;1;30;37;103;12;23;28;0;15;10;11;9;8;8;160
20ORCWV;Orc;14;8;1;1;30;37;103;12;23;28;0;15;10;11;9;8;8;160
20ORCWV3;Orc Warrior;14;18;3;1;0;0;86;0;0;0;0;15;10;11;9;8;8;160
20ORCWV4;Orc Warrior;14;22;4;1;0;0;32;0;0;0;0;15;10;11;9;8;8;160
20PESF1;Peasant;10;5;0;0;30;39;61;12;23;28;19;9;9;9;9;9;9;1
20PESF2;Peasant;10;5;0;0;30;52;67;12;23;28;12;9;9;9;9;9;9;1
20PESF3;Peasant;10;5;0;0;30;52;70;12;23;28;12;9;9;9;9;9;9;1
20PESM1;Peasant;10;5;0;0;30;37;57;12;23;28;0;9;9;9;9;9;9;1
20PESM2;Peasant;10;5;0;0;30;37;69;12;23;28;10;9;9;9;9;9;9;1
20PESM3;Peasant;10;5;0;0;30;39;61;12;23;28;19;9;9;9;9;9;9;1
20RNDCAT;Mad Cat;12;35;2;2;30;37;24;12;23;28;0;21;17;15;3;12;6;255
20RNDHRP;Harpy;11;41;7;1;30;37;114;12;23;28;0;10;15;10;7;10;15;174
20RNDMAL;Malarite;13;18;1;1;30;37;104;12;23;28;0;12;11;14;12;14;10;1
20RNDORA;Orc Archer;14;18;3;1;0;0;7;0;0;0;0;15;10;11;9;8;8;160
20RNDORW;Orc Warrior;14;18;3;1;0;0;86;0;0;0;0;12;14;16;8;8;8;160
20RNDSNK;Highland Snake;11;34;5;1;30;37;64;12;23;28;0;10;19;13;3;12;3;255
20SABCAT;Snow Leopard;11;18;2;2;30;37;80;12;23;28;0;16;19;15;3;12;6;255
20SABHID;Sabrina Fairwynd;16;42;5;1;30;63;70;12;23;28;4;10;12;12;12;16;16;1
20SABRIN;Sabrina Fairwynd;15;42;5;1;30;63;70;12;23;28;4;10;12;12;12;16;16;1
20SLMZMB;Slime Zombie;14;36;5;1;30;37;90;12;23;28;0;16;5;12;3;10;8;119
20SNOLEP;Snow Leopard;11;18;2;2;30;37;80;12;23;28;0;16;19;15;3;12;6;255
20STRLEP;Starving Leopard;11;28;2;2;30;37;99;12;23;28;0;16;19;15;3;12;6;255
20TROICE;Ice Troll;12;14;1;2;30;37;71;12;23;28;0;16;14;16;6;9;6;165
20VREK;Vrek Vileclaw;9;42;5;2;30;37;52;12;23;28;0;23;14;23;10;9;6;165
20WLFNRM;Wolf;12;18;3;1;30;37;64;12;23;28;0;13;15;15;3;12;6;255
21ANIVIL;Animated Villager;11;13;2;1;0;0;55;0;0;0;0;13;8;10;10;10;3;167
21BUGCPT;Bugbear;13;24;2;1;30;37;84;12;23;28;0;15;12;13;10;10;9;180
21CYCLPS;Cyclops;20;73;11;1;30;37;87;12;23;28;0;25;8;19;6;10;17;153
21ELFMGE;Mage;12;22;1;1;27;45;18;12;22;30;2;10;14;12;18;10;10;3
21GAERNT;Gaernat Sharptooth;11;41;4;2;30;37;19;12;23;28;0;10;23;14;10;12;4;191
21HERMIT;Hermit;12;51;7;1;30;50;39;12;23;28;5;9;9;9;9;9;9;255
21HGHSNK;Highland Snake;11;34;5;2;30;37;64;12;23;28;0;10;19;13;3;12;3;255
21HINT;Bridge;10;2;0;1;30;42;63;10;22;64;79;11;11;11;11;11;11;1
21HRP;Harpy;11;41;2;2;30;37;114;12;23;28;0;10;15;10;7;10;15;174
21OGR;Ogre;16;24;5;1;30;37;57;12;23;28;0;21;8;15;6;10;7;113
21ORCACE;Orc Archer Elite;14;32;6;1;30;37;57;12;23;28;0;15;10;11;9;8;8;160
21ORCCOM;Guthma;18;63;9;1;30;37;77;12;23;28;0;18;14;16;12;12;8;160
21ORCELT;Orc Elite;16;38;6;2;30;37;112;12;23;28;0;15;10;11;9;8;8;160
21SCOUT;Scout;16;32;4;0;30;7;55;12;91;93;3;12;14;12;12;14;12;2
21SPDQN;Spider Queen;11;48;2;2;30;37;96;12;23;28;0;15;17;12;3;10;3;255
21SPDSML;Spider;11;14;1;1;30;37;97;12;23;28;0;11;17;12;3;10;3;255
21SUPPRT;Support Beam;10;100;0;0;30;37;57;12;23;28;0;10;10;10;10;10;10;190
21SUPRT2;Support Beam;10;200;0;1;30;37;57;12;23;28;0;10;10;10;10;10;10;190
21VERB;Verbeeg;16;27;3;2;0;0;105;0;0;0;0;21;8;15;6;10;7;153
21WERBGR;Werebadger;14;21;3;1;30;37;44;12;23;28;0;10;17;13;10;10;10;191
21WERRAT;Wererat;14;23;3;1;30;37;45;12;23;28;0;12;17;13;10;10;10;191
21WTRWRD;Water Weird;16;24;5;1;30;37;68;12;23;28;0;9;14;10;12;12;10;152
21XUKI;Xuki;12;22;1;0;27;45;66;31;22;30;2;10;14;10;18;12;18;3
30BAT;Bat;30;5;10;1;0;0;55;0;0;0;0;3;16;10;3;3;3;0
30BEETQ;Fire Beetle Queen;16;30;7;2;30;37;70;14;23;28;0;16;18;16;3;3;3;150
30BUGBR;Bugbear;16;40;0;0;30;37;39;12;23;28;0;16;12;13;10;10;9;180
30DEKGOB;Dekanter Goblin;14;21;3;1;30;37;47;12;23;28;0;18;12;14;12;13;9;155
30DFDND;Festering Drowned Dead;22;136;12;2;30;37;52;12;23;28;0;30;18;18;9;9;9;167
30DGOB;Goblin;14;1;0;0;30;37;51;12;23;28;0;9;9;9;7;7;7;155
30DGOBE;Goblin Elite;14;9;1;0;30;37;58;12;23;28;0;12;9;9;7;7;7;155
30DHAGOB;Half-Goblin;14;1;4;0;0;91;29;20;22;21;7;15;16;18;12;12;10;155
30DRUM1;War Drum;10;40;0;1;30;37;57;12;23;28;0;9;3;9;9;9;9;255
30DRUM2;War Drum;10;40;0;1;30;37;57;12;23;28;0;9;3;9;9;9;9;255
30DRUM3;War Drum;10;40;0;1;30;37;57;12;23;28;0;9;3;9;9;9;9;255
30DRUM4;War Drum;10;40;0;1;30;37;57;12;23;28;0;9;3;9;9;9;9;255
30DRUM5;War Drum;10;40;0;1;30;37;57;12;23;28;0;9;3;9;9;9;9;255
30DRUM6;War Drum;10;40;0;1;30;37;57;12;23;28;0;9;3;9;9;9;9;255
30DRUM7;War Drum;10;40;0;1;30;37;57;12;23;28;0;9;3;9;9;9;9;255
30DSKEL;Skeleton;13;24;3;1;30;37;57;14;23;28;0;12;15;15;9;9;9;115
30DTSKEL;Skeleton;13;24;3;1;30;37;57;14;23;28;0;12;15;15;9;9;9;115
30DWORG;Worg;14;1;3;1;30;37;64;12;23;28;0;14;16;14;10;9;9;117
30ENNELD;Injured Half-Elf;10;28;3;0;30;37;42;10;23;28;2;15;16;8;12;15;14;3
30ENNELI;Ennelia;10;28;5;1;30;37;42;10;23;28;2;15;16;10;12;15;14;3
30FBEET;Fire Beetle;15;7;4;1;30;37;57;14;23;28;0;12;20;15;3;3;3;150
30FIRTLG;Hardened Fire Troll;14;32;0;0;30;37;67;12;23;28;0;20;16;16;12;10;10;165
30FIRTRL;Hardened Fire Troll;14;32;0;0;30;37;67;12;23;28;0;20;16;16;6;10;10;165
30FRGNT;Frost Giant;21;133;10;3;30;37;57;12;23;28;0;28;9;18;9;10;9;153
30GBWLPR;Goblin Whelp;15;24;4;1;30;37;54;12;23;28;0;16;12;12;12;13;9;155
30GOBAES;Goblin Archer Elite;16;15;0;0;30;37;58;12;23;28;0;10;16;12;10;12;8;155
30GOBARS;Goblin Archer;14;10;0;0;30;37;51;12;23;28;0;8;14;11;10;11;8;155
30GOBDED;Goblin;15;14;2;1;30;37;57;12;23;28;0;12;14;11;10;12;8;155
30GOBES;Goblin Elite;14;9;0;0;30;37;58;12;23;28;0;12;14;12;10;12;8;155
30GOBHO;Half-Goblin Hordling;13;18;0;0;0;91;29;20;29;21;7;14;16;16;12;12;10;155
30GOBHOE;Goblin Hordling;15;14;0;0;30;37;54;12;23;28;0;8;13;10;10;12;8;155
30GOBHOS;Goblin Hordling;15;14;2;1;30;37;54;12;23;28;0;12;14;12;10;12;8;155
30GOBKRU;Kruntur;17;30;6;2;30;37;47;12;23;28;0;18;12;14;7;7;7;155
30GOBMOK;Mokrul;17;26;0;0;30;37;47;12;23;28;0;16;13;12;10;12;8;155
30GOBOGR;Ogrok;17;27;0;0;30;37;47;12;23;28;0;16;12;11;10;14;8;155
30GOBOV1;Goblin Overseer;16;21;4;1;30;37;47;12;23;28;0;16;12;12;10;11;8;155
30GOBPOH;Pondmuk;14;6;0;0;30;37;54;12;23;28;0;9;9;9;7;7;7;155
30GOBPON;Pondmuk;14;6;0;0;30;37;54;12;23;28;0;9;9;9;7;7;7;155
30GOBS;Goblin;14;6;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
30GOBSH1;Goblin Shaman;16;20;0;0;30;37;36;12;23;28;0;11;10;10;13;16;7;155
30GOBSOR;Goblin Sorcerer;14;12;0;0;30;37;36;12;23;28;0;11;13;11;16;13;8;155
30GOBVUN;Vunarg;17;30;0;0;30;37;47;12;23;28;0;14;12;12;10;10;12;155
30GOBWLP;Goblin Whelp;14;21;0;0;30;37;70;12;23;28;0;14;12;12;12;13;9;155
30GOBWR;Goblin Worg Rider;16;28;6;1;30;37;53;12;23;28;0;18;16;12;7;12;7;155
30GOBWR1;Goblin Worg Rider;16;28;6;1;30;37;53;12;23;28;0;18;14;12;7;12;7;155
30GOBWR2;Goblin Worg Rider Captain;17;35;8;1;30;37;64;12;23;28;0;20;14;12;7;7;7;155
30GOBWR3;Goblin Worg Rider;16;28;6;1;30;37;53;12;23;28;0;18;12;12;7;12;7;155
30GOBWR4;Goblin Worg Rider Captain;17;35;8;1;30;37;64;12;23;28;0;20;14;12;7;14;7;155
30GOBWR5;Goblin Worg Rider;16;28;6;1;30;37;53;12;23;28;0;18;12;12;7;11;7;155
30GOBWR6;Goblin Worg Rider Captain;17;35;8;1;30;37;64;12;23;28;0;20;12;12;7;12;7;155
30GOBWRC;Goblin Worg Rider Captain;17;35;8;1;30;37;64;12;23;28;0;20;13;12;7;12;7;155
30GOBWRS;Goblin Worg Rider;16;28;6;1;30;37;53;12;23;28;0;18;11;12;7;12;7;155
30HAGOB;Half-Goblin;13;28;0;0;0;91;29;20;22;21;7;16;16;16;12;12;10;155
30HOBCA;Hobgoblin Sergeant;16;28;0;0;30;46;65;19;23;28;0;16;10;10;7;10;7;111
30HOBDG2;Door Guard;16;26;3;0;30;37;57;12;23;28;0;17;9;9;7;7;7;111
30HOBDGU;Door Guard;16;28;0;0;30;37;58;19;23;28;0;12;13;13;10;10;10;111
30HOBGU;Hobgoblin Guard;16;15;0;0;30;37;54;19;23;28;0;11;13;13;10;10;10;111
30HOBGUM;Gumph;16;30;0;0;30;37;57;12;23;28;0;14;14;13;10;10;10;111
30ICETRL;Hardened Ice Troll;14;32;0;0;30;37;71;12;23;28;0;20;12;16;12;14;10;165
30ILQUAG;Ilquog;15;35;0;0;30;37;70;12;23;28;0;16;12;12;12;13;9;155
30OGR;Ogre;16;26;0;0;30;47;41;10;23;30;0;22;8;15;6;10;7;113
30OGRCH;Ogre Chieftain;17;35;0;0;30;46;58;9;23;28;0;24;10;16;9;12;8;113
30OGRGA2;Gark;10;10;0;1;30;37;58;12;23;28;0;9;9;9;9;9;9;113
30OGRGA3;Ogre;16;26;0;0;30;46;39;9;23;28;2;22;8;15;6;10;8;113
30OGRGAR;Gark;17;42;0;0;30;46;58;9;23;28;0;24;10;18;7;10;8;113
30OGRS;Ogre;16;26;0;0;30;47;41;10;23;30;0;22;8;16;6;10;7;113
30ORCARS;Orc Archer;14;14;0;0;30;37;48;12;23;28;0;12;16;14;9;12;9;160
30ORCGOT;Gothog Zorgar;13;28;0;0;30;37;47;12;23;28;0;18;12;16;10;10;8;160
30ORCRU;Orc;13;14;0;0;30;37;48;12;23;28;0;15;10;11;9;8;8;160
30ORCRU2;Orc;13;14;0;0;30;37;48;12;23;28;0;15;10;11;9;8;8;160
30ORCRUH;Orc;13;14;0;0;30;37;48;12;23;28;0;15;10;11;9;8;8;160
30ORCSH1;Orc Shaman;15;20;0;0;30;37;51;12;23;28;0;13;10;12;13;14;9;160
30ORCSHH;Orc Shaman;15;20;0;0;30;37;51;12;23;28;0;12;10;12;14;14;9;160
30ORCTRU;Trugnuk;16;64;0;0;30;37;47;12;23;28;0;12;10;9;13;16;9;160
30ORCWA;Orc Warrior;13;15;0;0;30;37;49;12;23;28;0;15;10;11;9;8;8;160
30ORCWAE;Orc Warrior;15;28;0;0;30;37;49;12;23;28;0;16;12;12;9;10;9;160
30ORCWAS;Orc Warrior;14;14;0;0;30;37;49;12;23;28;0;15;10;11;9;8;8;160
30ORCWD;Orc Witch Doctor;14;18;0;0;30;37;56;12;23;28;0;12;9;12;16;13;9;160
30OROBLS;Orog;16;21;0;0;30;37;60;12;23;28;0;16;10;12;10;12;9;160
30OROCA;Orog Chief;17;35;0;0;30;37;59;12;23;28;0;18;14;14;12;12;9;160
30OROPUS;Pusmug;17;35;0;0;30;37;47;12;23;28;0;16;12;14;10;12;9;160
30OROTAS;Taskmaster;18;42;0;0;30;37;47;12;23;28;0;20;12;14;10;12;9;160
30OTY;Otyugh;17;48;4;3;30;37;57;12;23;28;0;11;10;13;5;12;6;193
30REST;;10;40;0;1;30;37;57;12;23;28;0;9;9;9;9;9;9;255
30SPIWO;Wooly Spider;14;25;0;0;79;64;64;74;74;74;5;13;15;10;3;10;3;116
30SPIWOD;Wooly Spider;14;25;3;1;79;64;63;74;74;74;5;13;15;10;5;10;5;116
30SPIWOQ;Wooly Spider Queen;15;35;0;0;79;47;63;74;74;74;5;16;17;12;5;10;5;116
30TEQUAG;Tequog;15;35;0;0;30;37;70;12;23;28;0;16;12;12;12;13;9;155
30TROLL;Troll;16;28;0;0;30;37;86;12;23;28;0;23;14;23;6;9;6;165
30WOLWOR;Worg;12;30;0;0;30;37;64;12;23;28;0;17;15;15;6;14;10;117
30WOLWOS;Worg;12;30;0;0;30;37;64;12;23;28;0;17;15;15;6;14;10;117
30WWLF;Winter Wolf;14;38;5;1;30;37;57;12;23;28;0;18;13;16;9;13;10;117
30YQUOGG;Yquog;18;78;0;0;30;37;104;12;23;28;0;18;16;13;14;14;14;164
31BRASTD;Braston;10;28;4;0;30;44;43;10;23;28;3;16;15;13;12;13;13;1
31BRASTO;Braston;10;28;5;1;30;44;43;10;23;28;3;16;15;13;12;13;13;1
31BUGB00;Bugbear;16;40;0;0;30;37;39;12;23;28;0;16;12;13;10;10;10;180
31BUGB01;Bugbear;16;40;0;0;30;37;39;12;23;28;0;16;12;14;10;10;10;180
31BUGGUT;Guthma;18;64;0;0;30;37;101;12;23;28;0;18;14;16;11;12;10;180
31BUGJAI;Bugbear Jailkeeper;17;50;0;0;30;44;43;10;23;28;3;18;12;13;10;10;9;180
31GIAVER;Verbeeg;17;40;3;2;30;37;40;12;23;28;0;22;8;19;9;10;9;153
31GOBHC;Goblin High Chieftain;16;35;0;0;30;37;47;12;23;28;0;16;14;14;10;12;7;155
31GOBHO;Goblin Hordling;15;14;0;0;30;37;54;12;23;28;0;8;13;11;10;11;8;155
31GOBHOE;Goblin Hordling;15;18;0;0;30;37;54;12;23;28;0;12;13;11;10;11;8;155
31GOBOV1;Goblin Overseer;16;21;0;0;30;37;47;12;23;28;0;14;14;14;12;14;9;155
31GOBSH1;Goblin Shaman;15;28;0;0;30;37;36;12;23;28;0;10;12;10;13;16;7;155
31GOBSH2;Goblin Shaman;16;22;0;0;30;37;36;12;23;28;0;11;9;9;13;16;7;155
31GOBSO2;Goblin Sorcerer;16;26;0;0;30;37;56;12;23;28;0;10;12;10;16;14;9;160
31GOBSOR;Goblin Sorcerer;16;20;0;0;30;37;56;12;23;28;0;10;12;12;16;13;9;160
31GOBWRB;Goblin Worg Rider;16;28;0;0;30;37;53;12;23;28;0;18;16;14;10;12;7;155
31HOBAR;Hobgoblin Archer;15;16;0;0;30;66;58;19;23;30;0;13;14;13;10;10;8;111
31HOBCH;Hobgoblin Chief;17;45;0;0;30;46;65;19;23;28;0;14;12;12;10;10;9;111
31HOBE;Hobgoblin Elite;16;28;0;0;30;46;65;19;23;28;0;14;12;12;10;12;7;111
31HOBSER;Hobgoblin Sergeant;17;28;4;1;30;46;65;19;23;28;0;16;12;12;10;12;8;111
31MADAE;Madae;20;64;7;0;30;37;57;12;23;28;0;19;13;13;11;11;7;255
31OGRCOO;Ogre Cook;16;29;0;0;30;47;41;10;23;30;0;21;8;15;6;10;7;113
31ORCARE;Orc Archer Elite;14;16;2;0;30;37;49;12;23;28;0;9;9;9;9;9;9;160
31ORCHC;Orc High Chieftain;16;40;0;0;30;37;47;12;23;28;0;18;12;14;10;12;8;160
31ORCHSB;Orc High Shaman;16;24;2;0;30;37;47;12;23;28;0;9;9;9;13;13;9;160
31ORCHSH;Orc High Shaman;16;24;2;1;30;37;47;12;23;28;0;12;12;12;13;16;9;160
31ORCOLD;Old Orc;18;63;0;0;30;37;59;12;23;28;0;18;14;14;9;18;9;160
31ORCSH1;Orc Shaman;16;22;2;0;30;37;51;12;23;28;0;9;9;9;13;14;9;160
31ORCSH2;Orc Shaman;16;22;2;0;30;37;51;12;23;28;0;9;9;9;13;14;9;160
31ORCWA;Orc Elite;17;20;6;2;30;37;49;12;23;28;0;18;12;14;9;12;9;160
31ORCWD;Orc Witch Doctor;15;18;1;0;30;37;56;12;23;28;0;9;9;9;16;14;9;160
31ORCWD2;Orc Witch Doctor;17;27;2;0;30;37;56;12;23;28;0;9;9;9;16;14;9;160
31OROBRA;Orog;16;21;5;1;30;37;59;12;23;28;0;18;14;14;10;12;9;160
31OROCH;Orog Chief;18;48;7;2;30;37;59;12;23;28;0;20;14;14;10;12;9;160
31OROCO;Orog Commander;18;35;8;2;30;37;60;12;23;28;0;18;12;14;10;12;9;160
31SHERIN;Sherincal;20;64;7;0;30;37;57;12;23;28;0;19;13;13;11;11;7;255
40BCULTC;Beodaewn Follower;15;24;4;1;32;60;99;109;19;30;24;11;9;9;10;9;10;117
40BDAWN;Beodaewn;18;42;6;2;33;46;84;109;113;79;107;17;17;15;10;10;20;117
40BDCULT;Beodaewn Follower;12;16;3;1;32;60;99;109;19;30;24;11;11;11;10;10;10;1
40BENEST;Boring Beetle Nest;0;100;0;0;30;37;57;12;23;28;0;10;10;10;10;10;10;255
40BETBOR;Boring Beetle;17;27;2;1;30;37;57;12;23;28;0;18;10;15;3;10;9;150
